"ginc" "height" "age" "length" "mar" "sex" "german" "alevel"
1691 164 50 5.3 1 1 0 0
2105 180 53 11.2 1 0 1 0
3344 168 45 1 1 0 1 0
1966 172 48 0.9 1 0 1 0
2883 184 46 28 0 0 1 0
1365 162 59 4.8 1 1 1 0
3625 185 55 23.7 1 0 1 0
1670 165 29 6.6 0 1 1 0
549 168 43 3.6 1 1 1 1
1866 176 46 0.3 0 0 1 0
2066 182 38 0.8 1 0 1 0
3673 190 34 3.4 1 0 1 0
1684 164 48 25.2 1 1 1 0
2532 170 50 28.6 1 0 1 0
1971 167 42 10 1 1 1 0
2039 169 34 4.4 1 1 1 1
2826 177 29 2.7 1 0 1 0
4555 190 53 19.3 1 0 1 1
1601 165 43 12.1 1 1 1 1
2943 169 33 4.8 0 1 1 1
1966 183 34 9.8 1 0 1 0
2082 180 52 18.2 0 0 1 0
1637 168 31 1.7 0 0 1 0
1556 178 24 3.3 0 0 1 0
1397 160 39 14 1 1 1 0
1962 170 30 2 1 0 0 0
1313 158 51 12.3 1 1 1 1
872 169 36 2.7 1 1 1 1
1221 158 39 1.3 1 1 1 0
1448 180 49 10.3 0 0 1 0
1833 172 48 10.4 1 0 1 0
675 185 45 0.1 0 0 0 0
3479 170 48 11.8 1 0 1 0
1578 169 51 1.3 1 1 1 0
9056 187 40 17 1 0 1 1
1519 165 60 14.8 0 1 1 0
1500 180 51 12.6 1 0 1 0
3063 168 41 8.3 0 1 1 1
2454 180 39 5.4 0 0 1 0
3211 179 36 10.2 0 0 1 1
994 162 46 7.6 1 1 1 1
665 168 32 0.8 1 1 1 0
2234 190 31 11 1 0 1 0
3006 184 36 17.5 1 0 1 0
2248 160 22 1.8 0 0 0 0
3183 182 57 38.3 1 0 1 0
1070 167 49 2.6 0 1 1 0
1426 170 48 15.6 1 1 1 0
2183 180 35 4.3 1 0 1 1
1519 170 41 2.1 0 1 1 0
2811 177 59 11.6 1 0 1 1
2617 182 48 17.3 1 0 1 1
3794 152 52 33.5 1 1 1 0
1794 189 42 7.6 1 0 1 0
2712 171 48 20.8 1 0 1 0
624 164 54 1.1 0 1 1 0
2916 175 60 1.2 1 0 0 0
1598 176 49 9.3 1 0 1 0
1737 165 25 2 0 1 1 1
1734 167 49 3.4 1 1 1 1
3594 182 53 25.1 1 0 1 1
2471 171 42 9.8 1 0 1 0
2450 195 29 3.5 0 0 1 0
1808 184 38 15.8 1 0 1 0
1830 183 39 19.1 1 0 1 0
1210 167 43 12.1 1 1 1 0
1045 172 42 2.1 1 0 0 0
3668 180 58 32.9 1 0 1 0
5257 182 40 7.8 1 0 1 1
2797 177 50 16.5 0 0 1 0
788 172 37 12.7 0 0 1 0
4237 167 45 0.9 0 1 1 1
1755 170 44 19.3 0 1 1 1
2557 173 41 7.5 1 0 1 0
2401 172 49 5.2 1 1 1 0
3773 176 46 9.3 1 0 1 1
801 154 42 1.4 1 1 1 0
2168 154 51 20.8 0 1 0 0
3196 186 42 10.5 1 0 1 1
1279 165 22 2 0 1 1 0
1596 177 38 16.6 0 1 1 0
2114 183 37 12.3 1 0 1 0
2072 158 51 13.3 1 1 0 0
3053 180 37 12.3 1 0 1 0
2758 178 51 29.4 1 0 1 0
1664 169 57 25.1 1 0 0 0
1988 170 53 35 1 0 1 1
2444 168 42 2 0 1 1 0
2662 183 22 1 0 0 1 0
